video_path_A,categ_A,subj_A,video_path_B,categ_B,subj_B
mug_pre2_test/1/user044_take000_03,1,25,mug_pre2_test/3/user021_take000_01,3,10
mug_pre2_test/5/user073_take003_00,5,42,mug_pre2_test/5/user075_take004_02,5,44
mug_pre2_test/3/user034_take000_01,3,17,mug_pre2_test/4/user078_take002_02,4,47
mug_pre2_test/4/user046_take000_08,4,27,mug_pre2_test/1/user037_take000_05,1,19
mug_pre2_test/0/user032_take002_03,0,15,mug_pre2_test/4/user065_take003_02,4,37
mug_pre2_test/5/user001_take002_02,5,0,mug_pre2_test/3/user028_take000_04,3,12
mug_pre2_test/5/user032_take002_04,5,15,mug_pre2_test/5/user008_take001_04,5,4
mug_pre2_test/3/user082_take002_08,3,49,mug_pre2_test/2/user078_take003_01,2,47
mug_pre2_test/5/user031_take001_00,5,14,mug_pre2_test/4/user060_take002_00,4,32
mug_pre2_test/0/user040_take002_00,0,22,mug_pre2_test/3/user037_take002_03,3,19
mug_pre2_test/2/user070_take001_00,2,39,mug_pre2_test/0/user021_take002_01,0,10
mug_pre2_test/5/user008_take001_01,5,4,mug_pre2_test/0/user037_take006_00,0,19
mug_pre2_test/2/user008_take002_03,2,4,mug_pre2_test/1/user076_take003_03,1,45
mug_pre2_test/5/user042_take000_01,5,23,mug_pre2_test/2/user014_take002_03,2,7
mug_pre2_test/2/user032_take002_04,2,15,mug_pre2_test/4/user014_take001_00,4,7
mug_pre2_test/2/user078_take000_02,2,47,mug_pre2_test/5/user032_take000_03,5,15
mug_pre2_test/5/user084_take003_01,5,51,mug_pre2_test/3/user044_take001_02,3,25
mug_pre2_test/0/user044_take002_06,0,25,mug_pre2_test/2/user014_take001_04,2,7
mug_pre2_test/2/user083_take001_02,2,50,mug_pre2_test/4/user078_take002_06,4,47
